num_sim,regression_frac,bootstrap_reg_data,iav_normal_correction,qmc,repetition,seed,time,AEP mean,AEP stdev
128,0.5,True,False,False,13,505680,1.7642037250000016,12.44144787531164,0.49773632601511986
128,0.5,False,False,False,14,591092,1.7560371559999997,12.28994025509774,0.3563471780660354
128,0.5,True,False,False,14,215986,1.7591681749999992,12.320791241225137,0.47037258603277815
128,0.5,False,False,False,15,317897,1.7982912980000005,12.305633283671714,0.3844132478591225
128,0.5,True,False,False,15,256671,1.7785630430000001,12.331849781295974,0.4999638596800487
128,0.5,False,False,False,17,838580,1.7699593830000016,12.372244225353421,0.3840034926083832
128,0.5,True,False,False,16,753093,1.793708401,12.37797604992936,0.49009366068300114
128,0.5,False,False,False,16,392758,1.8042514909999987,12.299384874318285,0.3516496101393848
128,0.5,True,False,False,17,511778,1.8260689590000005,12.383396937213128,0.4586436570637774
128,0.5,False,False,False,18,371053,1.7956394790000019,12.315930414327509,0.3540814276106455
128,0.5,True,False,False,18,55771,1.802796279999999,12.345510981510358,0.46304556333860586
128,0.5,False,False,False,19,83356,1.792082189000002,12.341862304330926,0.34856686589429015
128,0.5,False,False,False,20,366433,1.7895374890000006,12.342091877449242,0.4484098515039232
128,0.5,True,False,False,19,800127,1.8069732929999986,12.35281462494938,0.44068439990141
128,0.5,True,False,False,20,510540,1.801114178999999,12.348060699592631,0.49472297047273894
128,0.5,False,False,False,22,21702,1.8681618419999992,12.328410348323194,0.4122933376129413
128,0.5,True,False,False,21,208791,1.8754506620000022,12.379854958180529,0.4892495010283966
128,0.5,False,False,False,21,697039,1.8965158360000025,12.29801704885931,0.36414977309178753
128,0.5,True,False,False,22,375176,1.8787561169999982,12.238099931738859,0.5024959379018976
128,0.5,False,False,False,23,785900,1.894797656999998,12.259938983628329,0.37910042261854293
128,0.5,True,False,False,23,34688,1.8574604579999985,12.353784846571076,0.49425111428132484
128,0.5,True,False,False,24,390814,1.7576803930000011,12.267298148874268,0.5286699647606511
128,0.5,False,False,False,24,416151,1.7826697419999995,12.30623546079511,0.3645537038503132
128,0.5,False,False,False,25,973789,1.7779419579999995,12.33393046773508,0.38396662850437985
128,0.5,True,False,False,25,669664,1.7774375609999993,12.295249081734445,0.49562083466423357
128,0.5,True,False,False,26,474470,1.7716167700000014,12.348032054679631,0.5543202085166585
128,0.5,False,False,False,26,455254,1.8388166730000002,12.251147194242744,0.35285352402970127
128,0.5,False,False,False,27,96593,1.8058193379999992,12.332346545883146,0.35259047149091244
128,0.5,True,False,False,27,57809,1.8073579329999987,12.29868728586222,0.47612866594387715
128,0.5,True,False,False,28,7713,1.787929479999999,12.362688089089245,0.4639710616954384
128,0.5,False,False,False,28,469050,1.8227643270000016,12.369972933066155,0.3628464451746271
128,0.5,False,False,False,29,624756,1.7937358639999985,12.396232418997382,0.34706933344951096
128,0.5,True,False,False,29,788254,1.7855060919999985,12.307567146459732,0.4148559875672089
128,0.5,False,False,True,0,522505,1.7682622010000024,12.375096018272835,0.4070140239366509
128,0.5,True,False,True,0,430208,1.7693647749999997,12.294201197728343,0.47950233857881497
128,0.5,False,False,True,1,324474,1.7909324919999996,12.360145873610392,0.38314232309386326
128,0.5,True,False,True,1,670454,1.793067708999999,12.340504745417256,0.5121387501287576
128,0.5,False,False,True,2,417369,1.7887218550000021,12.327696041121957,0.3614255508291556
